,Credit_History,Income_Level,Loan_Amount,Zip_Code,Education_Level,Approval_Prob,Loan_Approval
0,Fair,Low,Small,Suburban,High School,0.5457700407946524,Approved
1,Good,Low,Large,Urban,High School,0.5821069554552545,Approved
2,Good,Low,Medium,Rural,High School,0.6466703120157979,Approved
3,Fair,Medium,Medium,Urban,High School,0.37923596761740735,Disapproved
4,Bad,Medium,Medium,Suburban,High School,0.6334029833763378,Approved
5,Bad,High,Small,Suburban,High School,0.38214045730265733,Disapproved
6,Bad,Low,Small,Rural,High School,0.4311867141611537,Disapproved
7,Good,Medium,Large,Urban,Bachelor,0.3764454099836579,Disapproved
8,Fair,Medium,Small,Suburban,Bachelor,0.4291180229502363,Disapproved
9,Good,Medium,Large,Urban,Bachelor,0.33004317245282494,Disapproved
10,Bad,High,Medium,Urban,Master,0.4594209851030194,Disapproved
11,Good,Medium,Large,Rural,Bachelor,0.564925900447427,Approved
12,Good,High,Large,Rural,Master,0.7710434404791676,Approved
13,Fair,Low,Medium,Suburban,Master,0.6240919550321837,Approved
14,Bad,Medium,Medium,Urban,High School,0.39198142483199006,Disapproved
15,Bad,Low,Small,Rural,Bachelor,0.321577468443911,Disapproved
16,Fair,Low,Small,Urban,Bachelor,0.7057116159140767,Approved
17,Fair,Low,Small,Urban,Bachelor,0.44883247331571796,Disapproved
18,Fair,Low,Medium,Suburban,High School,0.18254490590569175,Disapproved
19,Fair,Low,Large,Urban,Master,0.37826788047181586,Disapproved
20,Fair,Low,Medium,Rural,High School,0.6005117128335443,Approved
21,Bad,Low,Medium,Urban,Master,0.1615238467624029,Disapproved
22,Fair,High,Medium,Urban,Master,0.8585446514023117,Approved
23,Fair,Low,Medium,Suburban,Bachelor,0.48094134738154903,Disapproved
24,Fair,Medium,Medium,Suburban,High School,0.578396375805456,Approved
25,Good,Low,Medium,Urban,Bachelor,0.4647056480031226,Disapproved
26,Bad,High,Large,Urban,High School,0.470229511860525,Disapproved
27,Fair,High,Large,Suburban,High School,0.24487885881345517,Disapproved
28,Fair,Medium,Large,Urban,Master,0.30105539972429335,Disapproved
29,Bad,Medium,Large,Urban,Bachelor,0.1477554339500812,Disapproved
30,Fair,Low,Small,Suburban,Bachelor,0.34099939448250033,Disapproved
31,Bad,High,Large,Urban,Master,0.4452207510492549,Disapproved
32,Bad,High,Small,Rural,High School,0.6781773284071039,Approved
33,Good,High,Medium,Suburban,Bachelor,0.8457021057004129,Approved
34,Good,Medium,Large,Rural,Bachelor,0.46281929528854676,Disapproved
35,Good,Low,Small,Urban,Bachelor,0.816458831943733,Approved
36,Fair,High,Medium,Rural,Master,0.6394521014375152,Approved
37,Bad,Low,Large,Urban,Master,0.11188008560212591,Disapproved
38,Fair,Medium,Small,Urban,Bachelor,0.5667525199993528,Approved
39,Fair,Low,Large,Urban,Bachelor,0.08277213929591502,Disapproved
40,Bad,High,Large,Urban,Bachelor,0.49421010657387615,Disapproved
41,Fair,Low,Small,Urban,Master,0.707321523803586,Approved
42,Bad,Low,Small,Suburban,Bachelor,0.8107430548017945,Approved
43,Good,Medium,Large,Urban,High School,0.4536878004740312,Disapproved
44,Fair,Medium,Large,Urban,High School,0.258103499353936,Disapproved
45,Fair,Medium,Small,Suburban,Master,0.395235961006709,Disapproved
46,Fair,Low,Medium,Urban,High School,0.5423726387074912,Approved
47,Fair,Low,Large,Suburban,Bachelor,0.3467106881797915,Disapproved
48,Fair,Medium,Medium,Suburban,Master,0.7400563944748512,Approved
49,Bad,High,Small,Rural,Bachelor,0.4809911834127084,Disapproved
50,Good,High,Large,Urban,Bachelor,0.7291819247524186,Approved
51,Good,Medium,Small,Rural,High School,0.7306746457138557,Approved
52,Good,High,Medium,Suburban,Master,0.8862835842659909,Approved
53,Good,Medium,Medium,Rural,High School,0.7380960293443971,Approved
54,Fair,Medium,Small,Urban,Bachelor,0.41819947901612997,Disapproved
