,Income,DebtRatio,CreditScore,EducationLevel,EmploymentType,Age,NumDependents,MaritalStatus,Region,LoanApproved
0,67450.71229516849,0.13339983568259697,8439.372627729586,Medium,Unemployed,51.3912667572449,0,Divorced,South,0
1,57926.03548243223,0.691460563494888,8489.509415177321,Medium,Salaried,49.52952760384182,3,Married,South,0
2,69715.32807151039,0.5800110888690503,8565.232831370338,High,Self-Employed,39.373122875549576,3,Single,East,1
3,82845.44784612038,0.6212854429788697,8525.338453625223,High,Unemployed,44.46511754498613,5,Married,West,1
4,56487.69937914996,0.5165765668857677,8438.041904135202,Medium,Unemployed,47.301811559357965,5,Married,South,0
5,56487.945645762295,0.2116300196852197,8556.770503092133,Low,Salaried,48.520795725090416,4,Married,South,0
6,83688.19223261088,0.11861706545081936,8516.997722637127,Low,Unemployed,45.01912012407774,5,Married,South,0
7,71511.52093729364,0.6187939646416082,8479.189988197253,Low,Self-Employed,34.174666152332776,0,Divorced,East,1
8,52957.88421097572,0.33779839224167385,8422.89953719752,High,Self-Employed,23.526091581030673,5,Divorced,South,1
9,68138.40065378947,0.258318925623952,8521.737526493642,Low,Unemployed,41.59224561907862,4,Single,South,0
10,53048.734607813065,0.43700377530336665,8491.828609851678,Medium,Self-Employed,52.47508531894753,5,Married,North,1
11,53014.05369644615,0.3525391134854316,8507.815467437362,High,Unemployed,53.305385805346454,2,Single,North,1
12,63629.43407349051,0.4909995974125342,8420.739931991471,Medium,Self-Employed,43.18808706299557,0,Divorced,West,1
13,31300.79633013303,0.39027593983270814,8479.067147082184,Low,Unemployed,35.44112806343113,3,Single,South,0
14,34126.23251230451,0.5183398842641623,8524.015231077075,Low,Salaried,49.22661719414237,1,Divorced,North,0
15,51565.68706138541,0.6120539617054858,8593.823230565236,High,Salaried,29.01905306216053,3,Single,North,1
16,44807.53319498364,0.2173342065734734,8489.735918857468,Medium,Unemployed,33.83164767753179,3,Single,South,0
17,64713.709988929106,0.2976597283392921,8572.164952953406,Medium,Salaried,25.68520385850506,0,Married,South,1
18,46379.638867181835,0.36208935194238334,8539.367421042492,Low,Unemployed,49.978478889392946,3,Married,South,0
19,38815.444479970625,0.6772350688165829,8511.689248312667,Low,Unemployed,23.63702632598588,1,Married,North,0
20,81984.73153382332,0.31920016812849117,8449.382910816694,Low,Unemployed,44.083180671023726,0,Divorced,South,0
21,56613.355492701965,0.32865990975557774,8451.476072823452,Medium,Unemployed,63.258858421690654,1,Married,East,0
22,61012.92307031886,0.49208351377573667,8530.87704353533,Medium,Unemployed,44.015035869073664,3,Married,South,0
23,38628.77720679815,0.3515198259339696,8473.67522129474,High,Self-Employed,30.30986356571239,2,Single,South,1
24,51834.25913212226,0.6707342473837631,8469.231864061696,High,Self-Employed,35.818890590573545,0,Single,North,1
25,61663.83884564799,0.6366812562852663,8490.969483048286,Medium,Salaried,24.904371136499115,2,Divorced,West,1
26,42735.096338665455,0.40804526666540375,8491.808458483041,High,Salaried,31.050624872822365,1,Divorced,South,1
27,65635.47027518509,0.4868651403687099,8545.038398809684,High,Unemployed,32.85359717668234,2,Married,North,1
28,50990.419651217926,0.13481833713017233,8474.725115086989,Medium,Self-Employed,31.66699301166662,2,Married,North,1
29,55624.593753100846,0.5174383168194389,8540.062001801216,Low,Self-Employed,41.36985091372778,4,Single,West,1
30,50974.40081655905,0.5243205237694193,8521.985256702721,Low,Unemployed,12.192110830558626,4,Divorced,West,0
31,87784.17276763407,0.31551957738592484,8416.300200631897,Low,Salaried,27.5737466791067,5,Married,West,0
32,59797.541628930994,0.2318097301751636,8514.725383149165,High,Salaried,45.73843302181102,2,Married,West,1
33,44134.336065661504,0.64904704109021,8366.612078286145,High,Unemployed,60.9931863786639,2,Single,East,1
34,72338.17368154784,0.3560229404830766,8455.2388369174,Low,Unemployed,44.30787136247818,4,Married,West,0
35,41687.345250434664,0.49222366288102637,8523.153842328113,Low,Self-Employed,31.616796512300393,0,Married,South,1
36,63132.95392507133,0.11999727698575358,8499.467844987032,Medium,Self-Employed,48.49576736649072,5,Divorced,South,1
37,30604.948141803365,0.34844029994610176,8411.605394701923,Low,Salaried,50.936958949137995,3,Divorced,West,0
38,40077.20926652354,0.5903552866083279,8444.041911651322,Low,Self-Employed,32.47716451559977,2,Single,East,1
39,62952.91853803685,0.332545600240429,8369.554344337388,Medium,Salaried,31.400494691722585,0,Married,North,1
40,71076.99869993115,0.4618966960821261,8432.871837147786,Low,Salaried,56.12728446604336,3,Single,East,0
41,62570.52421784956,0.22591348029072367,8528.953167465928,Low,Salaried,29.1999808967572,2,Married,North,0
42,58265.27576417639,0.3499153893037357,8472.128353071243,High,Self-Employed,57.5293649138532,2,Married,East,1
43,55483.444566160666,0.6565826308319119,8508.497277086328,Medium,Self-Employed,45.6219814125845,1,Single,East,1
44,37822.17014448859,0.4398710498206223,8500.682219076974,Low,Self-Employed,52.84305132296856,3,Divorced,West,1
45,49202.336874079374,0.6411588754557589,8501.62915352498,High,Self-Employed,50.13688054793709,4,Married,North,1
46,53090.41843560319,0.641211579693726,8551.156621155653,High,Salaried,50.46168086527919,0,Divorced,East,1
47,75856.83339328374,0.6664886802546877,8489.85446789145,Low,Self-Employed,28.548630871383583,3,Married,South,1
