,Annual_Income,Credit_Score,Employment_Length,Age,Loan_Term,Loan_Purpose,Employment_Status,Loan_Categories,Region,Marital_Status,Approval_Probability
0,74944.8142616835,505.5024501566842,14.599966219799407,30,28,Personal,Self-employed,Medium,West,Married,0.6569245955606515
1,144085.71676918995,483.1016529272718,3.6902399119742313,44,14,Home,Employed,Small,South,Divorced,0.7197953440810932
2,117839.27301736861,396.884651876573,6.9327938873977235,55,27,Home,Unemployed,Large,South,Single,0.28124689179317336
3,101839.0181036444,633.9966685558184,13.265612737156365,50,1,Personal,Employed,Small,North,Divorced,0.8337858552528562
4,48722.236853092385,562.1432882797459,9.641786890489598,23,28,Car,Self-employed,Small,South,Single,0.44940066010281915
5,48719.34244034432,776.135545778202,14.771420772697876,30,27,Home,Employed,Small,West,Single,0.666664054848296
6,36970.033460183935,317.66026926513206,19.224158024457193,30,4,Car,Self-employed,Medium,South,Divorced,0.18776766731572758
7,133941.13749299222,654.1273601553195,2.33093375430395,30,22,Personal,Self-employed,Small,North,Married,0.8793941589530716
8,102133.80140918506,719.6218831813586,14.191354327961218,37,18,Car,Employed,Large,South,Married,0.583817630233059
9,114968.70933552546,717.7176130535689,4.60688311264229,53,11,Personal,Employed,Small,East,Single,0.8350332612294863
10,32470.139315496293,787.3406819025388,8.289534548151385,54,11,Personal,Self-employed,Small,North,Married,0.6971376126048611
11,146389.18225943932,700.9685585562218,0.6572545159027965,62,8,Car,Unemployed,Small,South,Single,0.8055866050679761
12,129893.1168960506,810.295533906233,2.718147645853979,26,4,Home,Self-employed,Medium,East,Single,0.8409991689871522
13,55480.69328139314,482.9611299014903,6.395545780977994,34,2,Personal,Unemployed,Large,East,Divorced,0.19348171648106777
14,51818.99606485207,576.7651792133487,6.839716105759699,52,1,Personal,Self-employed,Large,North,Divorced,0.42392837620669926
15,52008.54118241206,307.74381480558986,17.991704329241916,80,24,Personal,Employed,Medium,North,Married,0.28742007235471373
16,66509.06915514452,303.82667301681016,14.836258185330301,76,10,Home,Self-employed,Medium,South,Divorced,0.3956458476009713
17,92970.77179586854,432.0696412483359,19.44365936374082,69,17,Home,Unemployed,Medium,West,Single,0.2528224409799982
18,81833.40223705389,355.4439584264969,11.981430206704811,35,7,Personal,Unemployed,Large,North,Married,0.11908107930489636
19,64947.49682376503,443.1162523646645,4.83427464182636,42,7,Home,Unemployed,Large,South,Divorced,0.13517665905800427
20,103422.34736668554,397.37381199061855,6.553100598432858,76,13,Car,Unemployed,Small,East,Married,0.3171850445656074
21,46739.263278245024,315.68601366125654,6.396718465839342,32,22,Car,Unemployed,Large,East,Married,0.0592310099272623
22,65057.35782422618,800.1172805233272,6.529886553265031,40,24,Car,Self-employed,Medium,South,Single,0.6824250712905422
23,73963.421195243,304.52272226389033,13.459283462236314,18,26,Car,Employed,Large,North,Married,0.20817655902470633
24,84728.39810604432,704.8451793853969,10.616158561808325,58,1,Personal,Employed,Large,South,Single,0.4756154529035249
25,124221.11536716163,383.6813378057341,7.708483561732886,55,28,Car,Self-employed,Large,South,Single,0.5230524652978501
26,53960.85385900317,801.72629209978,2.981795374574332,35,1,Home,Employed,Large,North,Married,0.4052743241992898
27,91708.1326096334,791.0377667744372,0.44278325884291814,18,13,Personal,Self-employed,Small,West,Divorced,0.8404544192599843
28,101089.7482634451,659.6456305030915,4.376693551753852,71,1,Home,Unemployed,Medium,West,Divorced,0.35553155485530663
29,35574.04952639973,669.7287823903329,2.1494280793736253,56,6,Car,Self-employed,Large,West,Married,0.30869455705891635
30,102905.3822281726,302.9365280833287,15.708900617044787,27,23,Personal,Employed,Medium,South,Single,0.43802697971443216
31,50462.89484247498,841.6793613624811,2.2499591562777077,48,26,Personal,Employed,Medium,North,Single,0.5637989141723365
32,37806.191158233545,782.8079319666979,14.484564746136723,55,25,Personal,Employed,Large,West,Married,0.4071841789071362
33,143866.2644704,792.3084241515506,7.713173795521653,24,10,Car,Self-employed,Small,North,Married,0.8918119314242998
34,145875.84396894713,662.5844953779796,1.4675677948755195,55,21,Home,Self-employed,Small,West,Divorced,0.8900419595190353
35,127007.68177397533,489.6328107599951,16.254600988631715,25,1,Personal,Self-employed,Small,East,Single,0.8358057645062605
36,66553.65230080448,791.5067569997644,11.592611404732267,51,25,Home,Employed,Large,East,Single,0.46644523583914166
37,41720.65368076607,460.3343104831558,4.715230257271461,26,5,Car,Self-employed,Large,North,Married,0.3387450637882553
38,112107.96318145882,609.4913488382116,17.893623486653357,42,22,Car,Self-employed,Large,West,Single,0.6709319792803298
39,82818.29924875216,354.8520347891353,0.9051662774110292,44,25,Home,Employed,Large,North,Married,0.24620443407655518
40,44644.58818137346,807.0755965730126,4.036392163955258,58,2,Personal,Unemployed,Large,North,Single,0.18945459815438193
41,89421.22921335242,377.42375177416733,15.04093855611722,24,30,Home,Unemployed,Medium,North,Divorced,0.1923371927588135
