,Credit_History,Income_Level,Loan_Amount,Zip_Code,Education_Level,loan_approval
0,Fair,Low,Small,Suburban,High School,1
1,Good,Low,Large,Urban,High School,1
2,Good,Low,Medium,Rural,High School,1
3,Fair,Medium,Medium,Urban,High School,0
4,Bad,Medium,Medium,Suburban,High School,1
5,Bad,High,Small,Suburban,High School,0
6,Bad,Low,Small,Rural,High School,0
7,Good,Medium,Large,Urban,Bachelor,0
8,Fair,Medium,Small,Suburban,Bachelor,0
9,Good,Medium,Large,Urban,Bachelor,0
10,Bad,High,Medium,Urban,Master,0
11,Good,Medium,Large,Rural,Bachelor,1
12,Good,High,Large,Rural,Master,1
13,Fair,Low,Medium,Suburban,Master,1
14,Bad,Medium,Medium,Urban,High School,0
15,Bad,Low,Small,Rural,Bachelor,0
16,Fair,Low,Small,Urban,Bachelor,1
17,Fair,Low,Small,Urban,Bachelor,0
18,Fair,Low,Medium,Suburban,High School,0
19,Fair,Low,Large,Urban,Master,0
20,Fair,Low,Medium,Rural,High School,1
21,Bad,Low,Medium,Urban,Master,0
22,Fair,High,Medium,Urban,Master,1
23,Fair,Low,Medium,Suburban,Bachelor,0
24,Fair,Medium,Medium,Suburban,High School,1
25,Good,Low,Medium,Urban,Bachelor,0
26,Bad,High,Large,Urban,High School,0
27,Fair,High,Large,Suburban,High School,0
28,Fair,Medium,Large,Urban,Master,0
29,Bad,Medium,Large,Urban,Bachelor,0
30,Fair,Low,Small,Suburban,Bachelor,0
31,Bad,High,Large,Urban,Master,0
32,Bad,High,Small,Rural,High School,1
33,Good,High,Medium,Suburban,Bachelor,1
34,Good,Medium,Large,Rural,Bachelor,0
35,Good,Low,Small,Urban,Bachelor,1
36,Fair,High,Medium,Rural,Master,1
37,Bad,Low,Large,Urban,Master,0
38,Fair,Medium,Small,Urban,Bachelor,1
39,Fair,Low,Large,Urban,Bachelor,0
40,Bad,High,Large,Urban,Bachelor,0
41,Fair,Low,Small,Urban,Master,1
42,Bad,Low,Small,Suburban,Bachelor,1
43,Good,Medium,Large,Urban,High School,0
44,Fair,Medium,Large,Urban,High School,0
45,Fair,Medium,Small,Suburban,Master,0
46,Fair,Low,Medium,Urban,High School,1
47,Fair,Low,Large,Suburban,Bachelor,0
48,Fair,Medium,Medium,Suburban,Master,1
49,Bad,High,Small,Rural,Bachelor,0
50,Good,High,Large,Urban,Bachelor,1
51,Good,Medium,Small,Rural,High School,1
52,Good,High,Medium,Suburban,Master,1
53,Good,Medium,Medium,Rural,High School,1
54,Fair,Medium,Small,Urban,Bachelor,0
55,Good,Medium,Small,Suburban,Bachelor,1
56,Bad,Medium,Large,Rural,Master,0
57,Bad,Medium,Large,Urban,High School,0
58,Bad,Medium,Small,Suburban,Bachelor,0
59,Fair,Low,Medium,Rural,High School,0
60,Fair,Low,Medium,Suburban,Bachelor,0
61,Fair,Low,Medium,Urban,Master,0
62,Good,Medium,Small,Suburban,High School,1
63,Fair,Low,Small,Urban,Master,1
64,Fair,Low,Small,Rural,Master,1
65,Fair,Medium,Medium,Urban,Master,0
66,Bad,Medium,Large,Urban,Bachelor,0
67,Good,Medium,Medium,Urban,Bachelor,1
68,Bad,Medium,Medium,Suburban,Bachelor,0
69,Good,High,Medium,Rural,Master,1
70,Good,High,Medium,Urban,Master,1
71,Bad,High,Large,Urban,Bachelor,0
72,Bad,Medium,Medium,Urban,Master,0
73,Good,Low,Medium,Rural,Master,1
74,Good,High,Small,Urban,Master,1
75,Good,Low,Medium,Urban,Bachelor,1
76,Good,Low,Large,Suburban,Master,0
77,Bad,Medium,Medium,Urban,Master,0
78,Fair,Low,Small,Urban,High School,0
79,Bad,High,Medium,Urban,Master,0
80,Good,Medium,Medium,Rural,Bachelor,1
81,Fair,Medium,Medium,Rural,Bachelor,0
82,Fair,Medium,Large,Suburban,Master,0
83,Bad,Medium,Small,Urban,Bachelor,0
84,Fair,Low,Large,Suburban,Master,0
85,Fair,Medium,Medium,Urban,Bachelor,1
86,Good,Medium,Large,Suburban,Bachelor,0
87,Fair,Medium,Large,Suburban,High School,0
88,Good,Medium,Medium,Rural,Bachelor,0
89,Fair,Low,Medium,Urban,Master,0
90,Bad,Low,Small,Suburban,Bachelor,1
91,Good,Low,Small,Suburban,Bachelor,1
92,Good,Low,Small,Urban,High School,1
93,Fair,High,Medium,Suburban,Master,1
94,Good,High,Medium,Rural,High School,1
95,Fair,Low,Medium,Rural,Master,0
96,Fair,Medium,Medium,Suburban,Bachelor,0
97,Fair,Medium,Medium,Urban,High School,1
98,Bad,Low,Small,Rural,Master,0
99,Bad,Low,Large,Suburban,Bachelor,0
100,Bad,High,Small,Urban,Bachelor,1
101,Fair,Medium,Large,Urban,Master,0
102,Fair,High,Medium,Urban,Bachelor,1
103,Fair,Low,Large,Urban,Master,0
104,Good,Medium,Medium,Suburban,Master,1
105,Fair,Low,Large,Urban,Bachelor,0
106,Fair,Low,Small,Urban,Bachelor,1
107,Good,Medium,Small,Urban,High School,1
108,Fair,Low,Medium,Urban,Master,0
109,Bad,Low,Medium,Urban,Master,0
